Equipo,Comp,PL,Edad,Pos.,PJ,Titular,Mín,90 s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls./90,Ast,G+A/90,G-TP/90,G+A-TP,xG/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,Dis,DaP,%_de TT,Dis/90,DaP/90,G/T,G/TalArc,Dist,FK,Pases_exito,Pases_intentados,%_pase_exito,Dist.tot.pase,Dist.pase.prg,Pase_corto_exito,Pase_corto_intentado,%Pase_corto_exito,Pase_medio_exito,Pase_medio_intentado,%Pase_medio_exito,Pase_largo_exito,Pase_largo_intentado,%Pase_largo_exito,Pases_clave,Pases_1/3,Pases_Area,CrAP,Pases_tiros_libres,Cambios_juego,Pcz,SE,SE_dentro,SE_fuera,SE_recto,Pases_fuera_juego,Pases_bloqueados,ACT,ACT/90,PassLive,PassDead,ACT/HASTA,ACT/Dis,ACT/FR,ACT/Def,ACG,ACG/90,PassLive.1,PassDead.1,ACG/HASTA.1,ACG/Dis,ACG/FR,ACG/Def,Tkl,TklG,Duelos_exito,Duelos_intentados,%Duelos_exito,Duelos_perdidos,Bloqueos_defensivos,Disparos_bloqueados,Pases_interceptados,Intercepciones,Tkl+Int,Despejes_defensivos,Errores_provocan_tiro_oponente,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Transportes,Errores de control,Pases_recibidos,Pases_progresivos_decididos,2a amarilla,Fls,FR,Recuperaciones_balón,Aereos_ganados,Aereos_perdidos,%Aereo_ganados,GC,GC/90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,Penal_concedido,Penal_detenido,PC,PD,TL,TE,GC.1,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Long/prom/Saque/meta,Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.
Alavés,es La Liga,29,27.2,45.6,29,319,2610,29.0,32,17,49,26,6,8,80,4,33.9,27.6,19.9,47.5,356,886,1.1,0.59,1.69,0.9,1.48,1.17,0.69,1.85,0.95,1.64,303,95,31.4,10.45,3.28,0.09,0.27,17.6,9,7989,11225,71.2,152742,65465,3422,4164,82.2,3376,4217,80.1,1020,2188,46.6,218,714,178,81,425,83,626,135,49,59,6,64,273,536,18.48,356,73,22,33,39,13,51,1.76,35,2,3,6,5,0,537,335,261,524,49.8,263,287,67,220,247,784,658,9,14496,1445,4551,6460,3620,546,6992,457,7896,876,2,464,376,1143,502,527,48.8,44,1.52,112,69,70.5,6,9,14,4,13.8,11,0,0,11,2,4,1,40.9,0.29,-2.1,-0.07,695,56.0,392,28,7.1,23,0.79,13.0
Angers,fr Ligue 1,25,28.4,42.4,27,297,2430,27.0,25,14,39,20,5,6,36,2,31.0,26.3,21.1,47.4,405,782,0.93,0.52,1.44,0.74,1.26,1.15,0.78,1.93,0.97,1.75,253,74,29.2,9.37,2.74,0.08,0.27,18.6,12,9016,11430,78.9,157321,59414,4100,4648,88.2,3899,4599,84.8,807,1596,50.6,180,632,166,55,346,49,459,97,39,41,4,55,206,448,16.59,322,34,20,27,26,19,45,1.67,28,2,2,4,7,2,500,319,236,475,49.7,239,292,93,199,283,783,717,16,14555,1663,5249,6376,3106,418,7677,408,8945,773,0,296,332,1128,278,345,44.6,45,1.67,159,114,73.6,7,6,14,5,18.5,3,0,1,3,0,7,0,54.5,0.34,9.5,0.35,602,42.8,437,42,9.6,17,0.63,10.7
Arsenal,eng Premier League,24,26.5,55.8,29,319,2610,29.0,51,40,91,49,2,2,60,5,44.5,43.0,33.9,76.9,632,1394,1.76,1.38,3.14,1.69,3.07,1.54,1.17,2.71,1.48,2.65,400,135,33.8,13.79,4.66,0.12,0.36,15.1,6,12714,15194,83.7,207791,66417,6480,7100,91.3,5195,5874,88.4,807,1575,51.2,316,1050,324,56,333,61,606,189,172,3,2,64,211,716,24.69,538,63,35,47,23,10,91,3.14,65,10,4,8,3,1,467,279,196,396,49.5,200,258,85,173,181,648,501,21,18097,1398,4614,7805,5813,955,10550,363,12590,1373,2,334,308,1104,381,361,51.3,24,0.83,95,71,76.8,16,10,3,11,37.9,2,0,0,2,2,4,0,25.0,0.25,1.0,0.04,907,39.1,307,40,13.0,49,1.69,16.6
Aston Villa,eng Premier League,28,27.7,51.4,29,319,2610,29.0,40,31,71,38,2,3,58,2,41.2,38.8,30.4,69.2,554,1010,1.38,1.07,2.45,1.31,2.38,1.42,1.05,2.47,1.34,2.39,361,113,31.3,12.45,3.9,0.11,0.34,16.0,10,11488,13873,82.8,195233,67266,5313,5901,90.0,5138,5779,88.9,802,1509,53.1,267,867,248,46,448,40,472,187,124,19,1,48,276,642,22.14,447,69,39,46,29,12,73,2.52,58,4,2,5,3,1,488,280,229,415,55.2,186,263,88,175,190,678,582,38,16853,1981,5643,7253,4122,730,9547,379,11294,1001,1,332,381,1103,296,319,48.1,45,1.55,120,74,63.3,12,9,8,4,13.8,1,1,0,1,1,2,0,43.5,0.35,-1.5,-0.05,887,32.1,395,43,10.9,28,0.97,14.5
Atalanta,it Serie A,32,27.8,55.7,30,330,2700,30.0,61,42,103,57,4,6,56,1,51.3,46.6,36.5,83.1,711,1417,2.03,1.4,3.43,1.9,3.3,1.71,1.22,2.93,1.55,2.77,438,152,34.7,14.6,5.07,0.13,0.38,15.0,5,14087,16864,83.5,244245,77243,6387,7077,90.3,6231,7060,88.3,1194,1985,60.2,342,1102,300,90,375,94,605,142,67,51,0,45,268,789,26.3,588,64,45,61,20,11,105,3.5,84,4,3,11,3,0,471,286,221,400,55.3,179,283,73,210,235,706,498,13,20032,1557,5483,9148,5575,837,12403,469,13990,1405,1,350,323,1399,453,361,55.7,29,0.97,110,83,74.5,17,7,6,12,40.0,1,0,0,1,0,3,2,32.5,0.31,5.5,0.18,763,48.3,261,17,6.5,44,1.47,24.5
Athletic Club,es La Liga,30,27.6,49.3,29,319,2610,29.0,46,36,82,44,2,5,51,3,43.2,39.3,29.5,68.8,548,1262,1.59,1.24,2.83,1.52,2.76,1.49,1.02,2.51,1.35,2.37,381,127,33.3,13.14,4.38,0.12,0.35,17.4,6,10738,13596,79.0,197789,69997,4417,5083,86.9,5124,5912,86.7,1065,2080,51.2,288,1029,217,75,373,94,628,155,60,60,1,46,230,685,23.62,514,52,45,35,20,19,80,2.76,55,7,6,7,5,0,437,252,218,431,50.6,213,268,45,223,265,702,638,19,16887,1385,4626,8068,4349,616,8746,439,10626,1247,1,356,301,1327,364,386,48.5,24,0.83,86,62,74.4,14,11,4,9,31.0,2,1,0,2,2,3,1,24.7,0.27,1.7,0.06,699,52.5,337,31,9.2,38,1.31,16.4
Atlético Madrid,es La Liga,24,29.1,51.7,29,319,2610,29.0,47,37,84,44,3,4,65,3,46.1,43.1,35.0,78.1,558,1163,1.62,1.28,2.9,1.52,2.79,1.59,1.21,2.8,1.49,2.69,341,119,34.9,11.76,4.1,0.13,0.37,16.9,9,13349,16170,82.6,222975,75846,6480,7214,89.8,5351,6132,87.3,1122,1930,58.1,251,907,260,70,349,97,499,140,44,51,0,56,308,603,20.79,481,36,24,34,15,13,83,2.86,71,0,4,5,1,2,470,284,249,498,50.0,249,279,82,197,201,671,624,18,19186,1783,6106,8711,4516,614,11567,406,13256,1161,0,314,316,1213,347,336,50.8,23,0.79,87,66,78.2,16,9,4,13,44.8,4,0,0,4,0,2,2,18.1,0.17,-2.9,-0.1,507,36.0,400,20,5.0,21,0.72,13.3
Augsburg,de Bundesliga,28,27.5,43.4,27,297,2430,27.0,30,22,52,29,1,2,69,2,26.3,24.7,18.8,43.6,352,889,1.11,0.81,1.93,1.07,1.89,0.97,0.7,1.67,0.92,1.61,302,89,29.5,11.19,3.3,0.1,0.33,17.6,8,8881,11603,76.5,163641,64893,3763,4431,84.9,4006,4696,85.3,947,1836,51.6,220,691,189,56,330,30,457,120,41,55,1,48,290,538,19.93,381,61,27,38,26,5,55,2.04,37,6,5,4,2,1,382,251,189,347,54.5,158,340,98,242,278,660,792,12,14892,1745,4861,6545,3652,528,7813,473,8805,879,1,301,300,1175,437,386,53.1,36,1.33,113,78,71.7,10,9,8,10,37.0,4,0,0,4,1,2,1,36.7,0.3,1.7,0.06,749,45.3,458,18,3.9,32,1.19,13.6
Auxerre,fr Ligue 1,28,26.6,42.4,27,297,2430,27.0,38,27,65,34,4,5,52,4,35.3,31.6,26.6,58.2,388,883,1.41,1.0,2.41,1.26,2.26,1.31,0.99,2.29,1.17,2.16,312,123,39.4,11.56,4.56,0.11,0.28,17.3,8,8478,11055,76.7,156640,61356,3641,4201,86.7,3576,4216,84.8,1029,2014,51.1,239,641,171,55,366,129,448,112,40,54,0,40,226,571,21.15,422,50,25,34,22,18,69,2.56,43,8,4,6,8,0,565,343,272,518,52.5,246,328,105,223,277,842,760,13,14360,1751,5238,6151,3122,509,7695,361,8415,879,1,327,293,1217,350,355,49.6,39,1.44,131,93,74.0,9,8,10,8,29.6,5,1,0,5,0,6,2,42.6,0.3,5.6,0.21,751,53.2,445,26,5.8,41,1.52,15.4
Barcelona,es La Liga,27,25.3,67.1,29,319,2610,29.0,80,58,138,75,5,6,49,3,70.9,66.2,54.7,120.9,659,1639,2.76,2.0,4.76,2.59,4.59,2.44,1.89,4.33,2.28,4.17,493,184,37.3,17.0,6.34,0.15,0.41,17.0,20,16551,19167,86.4,281168,88076,7516,8200,91.7,7406,8153,90.8,1220,1873,65.1,379,1447,352,56,494,111,515,193,67,40,0,54,293,882,30.41,685,42,62,46,38,9,136,4.69,98,3,14,10,10,1,405,256,211,392,53.8,181,265,51,214,167,572,469,11,22286,1494,5215,11115,6121,908,13327,447,16454,1634,1,262,359,1239,286,270,51.4,28,0.97,83,55,69.9,21,3,5,9,31.0,3,0,0,3,0,1,0,26.9,0.3,-1.1,-0.04,932,27.8,290,12,4.1,121,4.17,19.9
